Asesor,Nombre del tesista,Año,Resumen,Institución,Grado
"Cueva Moscoso, Rony","Ghersi Sayán, Andrés Enrique",2022-02-01,Implementación de un algoritmo memético para resolver el problema de corte de materiales aplicado a la producción de barras de acero para hormigón,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Aguilera Serpa, César Augusto","Santiago Almeyda, Magaly",2021-12-13,"Definición de un proceso de gestión de incidentes, aplicando ITIL®4 para una empresa de telecomunicaciones",Pontificia Universidad Católica del Perú,Ingeniero Informático
"Beltrán Castañón, César Armando","Bustamante Arce, Jaime Diego",2021-11-30,Implementación de un algoritmo de aprendizaje profundo basado en eventos para el problema de predicción de movimiento bursátil,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Oncevay Marcos, Félix Arturo","Maguiño Valencia, Diego Arturo",2021-11-24,Desarrollo de una base de datos léxica basada en sinonimia para Shipibo-Konibo,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Tupia Anticona, Manuel Francisco","Delgado Alba, Manuel Jesús",2021-11-11,Implementación de un sistema de información para medir el nivel de usabilidad de sistemas web que brindan servicios de gobierno electrónico usando lógica difusa,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Cueva Moscoso, Rony","León Málaga, Paul Andrés",2021-11-07,Aplicación del algoritmo de búsqueda tabú para la optimización del espacio utilizado en el llenado de contenedores,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Villanueva Talavera, Edwin Rafael","Córdova Pérez, Claudia Sofía",2021-09-30,Aplicación de aprendizaje profundo para la detección y clasificación automática de insectos agrícolas en trampas pegantes,Pontificia Universidad Católica del Perú,Ingeniera Informático
"Huamán Monzón, Fernando Miguel","Vallenas Arévalo, Andrés",2021-09-30,Diseño de un programa de auditoría de seguridad de la información y ciberseguridad,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Paz Espinoza, Freddy Alberto","Cisneros Muñoz, Daniela Alexandra",2021-09-27,Evaluación de accesibilidad de aplicaciones web de las municipalidades de la ciudad de Lima que brindan servicios de gobierno electrónico,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Moquillaza Vizarreta, Miguel Arturo","Palomino Diaz, Fryda Paola",2021-09-13,Mejora de la evaluación de la experiencia de usuario en sitios web aplicando analítica web,Pontificia Universidad Católica del Perú,Ingeniera Informático
"Flores García, Luis Alberto","Sánchez Herrera, Sebastián Andrés",2021-09-01,Sistema de voto electrónico basado en blockchain,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Dávila Ramón, Abraham Eliseo","Choccechanca Apaza, Edgard Walther",2021-08-31,Mejora de proceso en una pequeña organización que ofrece servicios software: caso Procal-Proser-Lim.Sigma – 1er ciclo,Pontificia Universidad Católica del Perú,Ingeniero Informático
"Beltrán Castañón, César Armando","Pando Robles, Enrique André",2021-07-21,Implementación de un sistema de recomendación basado en el análisis de polaridad y caracterización de revisiones de usuarios de un marketplace,Pontificia Universidad Católica del Perú,Ingeniero Informático
